4su_labelling,Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Method,Molecule,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
15min 4sU,SRR8724048,RNA-Seq,301,73786538,PRJNA526921,SAMN11120221,28864057,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5517255,GSM3669812,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669812,Jurkat,SRP188374
15min 4sU,SRR8724049,RNA-Seq,301,906928652,PRJNA526921,SAMN11120220,358340748,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5517256,GSM3669813,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669813,Jurkat,SRP188374
15min 4sU,SRR8724050,RNA-Seq,301,791931,PRJNA526921,SAMN11120219,410764,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5517257,GSM3669814,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669814,Jurkat,SRP188374
15min 4sU,SRR8724051,RNA-Seq,301,1032244283,PRJNA526921,SAMN11120283,404316272,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5517258,GSM3669815,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669815,Jurkat,SRP188374
15min 4sU,SRR8724052,RNA-Seq,301,1032687656,PRJNA526921,SAMN11120282,407653100,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5517259,GSM3669816,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669816,Jurkat,SRP188374
15min 4sU,SRR8724053,RNA-Seq,301,1013199712,PRJNA526921,SAMN11120281,398658877,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5517260,GSM3669817,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669817,Jurkat,SRP188374
no 4sU labelling,SRR8724054,RNA-Seq,301,1067221085,PRJNA526921,SAMN11120280,424535944,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5517261,GSM3669818,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669818,Jurkat,SRP188374
15min 4sU,SRR8724055,RNA-Seq,301,1059368597,PRJNA526921,SAMN11120279,417124216,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5517262,GSM3669819,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669819,Jurkat,SRP188374
15min 4sU,SRR8724056,RNA-Seq,301,6085016,PRJNA526921,SAMN11120278,2463354,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5517263,GSM3669820,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669820,Jurkat,SRP188374
15min 4sU,SRR8724057,RNA-Seq,301,1012713898,PRJNA526921,SAMN11120277,398828890,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5517264,GSM3669821,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669821,Jurkat,SRP188374
no 4sU labelling,SRR8724058,RNA-Seq,301,17289440,PRJNA526921,SAMN11120276,6815504,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX5517265,GSM3669822,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669822,Jurkat,SRP188374
15min 4sU,SRR8724059,RNA-Seq,301,996628759,PRJNA526921,SAMN11120275,390645663,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5517266,GSM3669823,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669823,Jurkat,SRP188374
15min 4sU,SRR8724060,RNA-Seq,301,653671165,PRJNA526921,SAMN11120274,257119482,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5517267,GSM3669824,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669824,Jurkat,SRP188374
15min 4sU,SRR8724061,RNA-Seq,301,745640511,PRJNA526921,SAMN11120273,327791690,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5517268,GSM3669825,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669825,Jurkat,SRP188374
15min 4sU,SRR8724062,RNA-Seq,301,1020900195,PRJNA526921,SAMN11120272,403619673,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5517269,GSM3669826,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669826,Jurkat,SRP188374
15min 4sU,SRR8724063,RNA-Seq,301,1181839477,PRJNA526921,SAMN11120271,464604141,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5517270,GSM3669827,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669827,Jurkat,SRP188374
15min 4sU,SRR8724064,RNA-Seq,301,1076651114,PRJNA526921,SAMN11120270,425561685,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX5517271,GSM3669828,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669828,Jurkat,SRP188374
15min 4sU,SRR8724065,RNA-Seq,301,1116002048,PRJNA526921,SAMN11120269,439035504,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5517272,GSM3669829,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669829,Jurkat,SRP188374
no 4sU labelling,SRR8724066,RNA-Seq,301,915262138,PRJNA526921,SAMN11120268,362164362,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5517273,GSM3669830,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669830,Jurkat,SRP188374
15min 4sU,SRR8724067,RNA-Seq,301,81044250,PRJNA526921,SAMN11120267,31762739,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX5517274,GSM3669831,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669831,Jurkat,SRP188374
15min 4sU,SRR8724068,RNA-Seq,301,1064193627,PRJNA526921,SAMN11120266,418451907,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX5517275,GSM3669832,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669832,Jurkat,SRP188374
15min 4sU,SRR8724069,RNA-Seq,301,2598834,PRJNA526921,SAMN11120265,959644,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX5517276,GSM3669833,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669833,Jurkat,SRP188374
no 4sU labelling,SRR8724070,RNA-Seq,301,962393621,PRJNA526921,SAMN11120261,378889622,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX5517277,GSM3669834,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669834,Jurkat,SRP188374
15min 4sU,SRR8724071,RNA-Seq,301,93171239,PRJNA526921,SAMN11120197,36383700,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX5517278,GSM3669835,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669835,Jurkat,SRP188374
15min 4sU,SRR8724072,RNA-Seq,301,521927077,PRJNA526921,SAMN11120196,204836640,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX5517279,GSM3669836,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669836,Jurkat,SRP188374
15min 4sU,SRR8724073,RNA-Seq,301,898930179,PRJNA526921,SAMN11120195,353142444,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX5517280,GSM3669837,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669837,Jurkat,SRP188374
15min 4sU,SRR8724074,RNA-Seq,301,1016421014,PRJNA526921,SAMN11120264,400014863,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX5517281,GSM3669838,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669838,Jurkat,SRP188374
15min 4sU,SRR8724075,RNA-Seq,301,1031999570,PRJNA526921,SAMN11120263,404589127,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX5517282,GSM3669839,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669839,Jurkat,SRP188374
15min 4sU,SRR8724076,RNA-Seq,301,329297913,PRJNA526921,SAMN11120262,129472761,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX5517283,GSM3669840,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669840,Jurkat,SRP188374
15min 4sU,SRR8724077,RNA-Seq,301,1085379211,PRJNA526921,SAMN11120194,425071832,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX5517284,GSM3669841,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669841,Jurkat,SRP188374
no 4sU labelling,SRR8724078,RNA-Seq,301,64168685,PRJNA526921,SAMN11120193,25437646,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5517285,GSM3669842,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669842,Jurkat,SRP188374
15min 4sU,SRR8724079,RNA-Seq,301,1188689334,PRJNA526921,SAMN11120192,471339609,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX5517286,GSM3669843,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669843,Jurkat,SRP188374
15min 4sU,SRR8724080,RNA-Seq,301,9023980,PRJNA526921,SAMN11120249,3630138,GEO,public,"sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5517287,GSM3669844,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669844,Jurkat,SRP188374
15min 4sU,SRR8724081,RNA-Seq,301,617351,PRJNA526921,SAMN11120248,310893,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5517288,GSM3669845,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669845,Jurkat,SRP188374
no 4sU labelling,SRR8724082,RNA-Seq,301,1087807679,PRJNA526921,SAMN11120247,430462295,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX5517289,GSM3669846,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669846,Jurkat,SRP188374
15min 4sU,SRR8724083,RNA-Seq,301,985247648,PRJNA526921,SAMN11120246,388085202,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5517290,GSM3669847,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669847,Jurkat,SRP188374
15min 4sU,SRR8724084,RNA-Seq,301,983324258,PRJNA526921,SAMN11120245,389938429,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517291,GSM3669848,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669848,Jurkat,SRP188374
15min 4sU,SRR8724085,RNA-Seq,301,811027644,PRJNA526921,SAMN11120244,333751502,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX5517292,GSM3669849,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669849,Jurkat,SRP188374
15min 4sU,SRR8724086,RNA-Seq,301,1100643523,PRJNA526921,SAMN11120243,436703256,GEO,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5517293,GSM3669850,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669850,Jurkat,SRP188374
15min 4sU,SRR8724087,RNA-Seq,301,996766617,PRJNA526921,SAMN11120242,394546510,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX5517294,GSM3669851,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669851,Jurkat,SRP188374
15min 4sU,SRR8724088,RNA-Seq,301,1000203435,PRJNA526921,SAMN11120241,397794288,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5517295,GSM3669852,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669852,Jurkat,SRP188374
15min 4sU,SRR8724089,RNA-Seq,301,1330567189,PRJNA526921,SAMN11120240,524557522,GEO,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517296,GSM3669853,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669853,Jurkat,SRP188374
no 4sU labelling,SRR8724090,RNA-Seq,301,685377,PRJNA526921,SAMN11120239,345835,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5517297,GSM3669854,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669854,Jurkat,SRP188374
15min 4sU,SRR8724091,RNA-Seq,301,1062836117,PRJNA526921,SAMN11120238,420690023,GEO,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX5517298,GSM3669855,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669855,Jurkat,SRP188374
15min 4sU,SRR8724092,RNA-Seq,301,1098120842,PRJNA526921,SAMN11120237,431951930,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX5517299,GSM3669856,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669856,Jurkat,SRP188374
15min 4sU,SRR8724093,RNA-Seq,301,1034757633,PRJNA526921,SAMN11120236,411515237,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX5517300,GSM3669857,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669857,Jurkat,SRP188374
no 4sU labelling,SRR8724094,RNA-Seq,301,1036124474,PRJNA526921,SAMN11120235,409410028,GEO,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517301,GSM3669858,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669858,Jurkat,SRP188374
15min 4sU,SRR8724095,RNA-Seq,301,1265310389,PRJNA526921,SAMN11120234,499287511,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX5517302,GSM3669859,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669859,Jurkat,SRP188374
15min 4sU,SRR8724096,RNA-Seq,301,4364801,PRJNA526921,SAMN11120233,1797889,GEO,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5517303,GSM3669860,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669860,Jurkat,SRP188374
15min 4sU,SRR8724097,RNA-Seq,301,905348101,PRJNA526921,SAMN11120232,375744454,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX5517304,GSM3669861,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669861,Jurkat,SRP188374
15min 4sU,SRR8724098,RNA-Seq,301,4363597,PRJNA526921,SAMN11120231,1816385,GEO,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX5517305,GSM3669862,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669862,Jurkat,SRP188374
15min 4sU,SRR8724099,RNA-Seq,301,1003553866,PRJNA526921,SAMN11120228,398322338,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5517306,GSM3669863,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669863,Jurkat,SRP188374
15min 4sU,SRR8724100,RNA-Seq,301,1080939762,PRJNA526921,SAMN11120227,427600364,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX5517307,GSM3669864,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669864,Jurkat,SRP188374
15min 4sU,SRR8724101,RNA-Seq,301,932873648,PRJNA526921,SAMN11120226,369806755,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX5517308,GSM3669865,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669865,Jurkat,SRP188374
no 4sU labelling,SRR8724102,RNA-Seq,301,4106543,PRJNA526921,SAMN11120172,1693755,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX5517309,GSM3669866,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669866,Jurkat,SRP188374
15min 4sU,SRR8724103,RNA-Seq,301,1076969873,PRJNA526921,SAMN11120171,422951304,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX5517310,GSM3669867,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669867,Jurkat,SRP188374
15min 4sU,SRR8724104,RNA-Seq,301,121157015,PRJNA526921,SAMN11120230,47509547,GEO,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX5517311,GSM3669868,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669868,Jurkat,SRP188374
15min 4sU,SRR8724105,RNA-Seq,301,235683,PRJNA526921,SAMN11120229,173854,GEO,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX5517312,GSM3669869,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669869,Jurkat,SRP188374
no 4sU labelling,SRR8724106,RNA-Seq,301,1060304105,PRJNA526921,SAMN11120170,416763251,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX5517313,GSM3669870,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669870,Jurkat,SRP188374
15min 4sU,SRR8724107,RNA-Seq,301,200540347,PRJNA526921,SAMN11120169,78593064,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX5517314,GSM3669871,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669871,Jurkat,SRP188374
15min 4sU,SRR8724108,RNA-Seq,301,1057376278,PRJNA526921,SAMN11120168,414071171,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX5517315,GSM3669872,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669872,Jurkat,SRP188374
15min 4sU,SRR8724109,RNA-Seq,301,951409529,PRJNA526921,SAMN11120167,376233962,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX5517316,GSM3669873,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669873,Jurkat,SRP188374
15min 4sU,SRR8724110,RNA-Seq,301,1120725942,PRJNA526921,SAMN11120166,442860343,GEO,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX5517317,GSM3669874,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669874,Jurkat,SRP188374
15min 4sU,SRR8724111,RNA-Seq,301,1081052336,PRJNA526921,SAMN11120165,424151031,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5517318,GSM3669875,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669875,Jurkat,SRP188374
15min 4sU,SRR8724112,RNA-Seq,301,1007764856,PRJNA526921,SAMN11120164,398172825,GEO,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX5517319,GSM3669876,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669876,Jurkat,SRP188374
15min 4sU,SRR8724113,RNA-Seq,301,804732229,PRJNA526921,SAMN11120218,314549654,GEO,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX5517320,GSM3669877,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669877,Jurkat,SRP188374
no 4sU labelling,SRR8724114,RNA-Seq,301,33777618,PRJNA526921,SAMN11120217,13298629,GEO,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX5517321,GSM3669878,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,NASC-seq,polyA RNA,Homo sapiens,ILLUMINA,2019-07-18T00:00:00Z,GSM3669878,Jurkat,SRP188374
